,comments,preprocessed comments,sentiment
279,astronaut thrs somethn in th wo er atronaut what astronaut where,astronaut thrs somethn th wo er atronaut astronaut,neutral
280,all right they used the original alien title card fadein thing but sped up about x i think that alone speaks volumes to the focus and direction of the movie,right used original alien title card fadein thing sped x think alone speaks volumes focus direction movie,positive
281,fact either do it right or live with your cinematic mistake for the rest of your life knowing that you tried to become part of something legendary in cinema history and failed facewithtearsofjoy,fact either right live cinematic mistake rest life knowing tried become part something legendary cinema history failed facewithtearsofjoy,positive
282,another ellen ripley copy when will we get a hicks,another ellen ripley copy get hicks,neutral
283,predator,predator,neutral
284,well the diversity and mud mixing boxes are checked,well diversity mud mixing boxes checked,neutral
285,teenagers in space face with tears of joy face with tears of joy face with tears of joy,teenagers space face tears joy face tears joy face tears joy,positive
286,brother got harassed by that facehugger face with tears of joy face with tears of joy face with tears of joy,brother got harassed facehugger face tears joy face tears joy face tears joy,positive
287,none of these remakes will ever be as good as the majestic sigourney weaver ones,none remakes ever good majestic sigourney weaver ones,positive
288,finding out that the banging sound is the alien smashing into your ribcage before it bursts through your chest is freaking horrifying whoever came up with that sound effect is genius,finding banging sound alien smashing ribcage bursts chest freaking horrifying whoever came sound effect genius,negative
289,classic circular door opening is a throwback to,classic circular door opening throwback,positive
290,owkey this time romulus dog next pedagogue man student how thinking face,owkey time romulus dog next pedagogue man student thinking face,neutral
291,seems like all these new movies want to just cast kids in roles you would expect to be older i remember watching the first alien movie when i was a boy and the cast ages ranged from the s to s which to me made perfect sence this one looks like they are all under the age of there might be one or two slightly older but none over the age of just dont get why they cant cast a more diverse age group thats another thing i loved about the original they looked like average folks these look like they are showing up for modeling classes,seems like new movies want cast kids roles would expect older remember watching first alien movie boy cast ages ranged made perfect sence one looks like age might one two slightly older none age dont get cant cast diverse age group thats another thing loved original looked like average folks look like showing modeling classes,positive
